date,demand,inventory,lead_time,anomaly,anomaly_type
2025-12-27 14:45:32.828601,214,101,4,1,inventory_shortage
2025-12-28 14:45:32.828599,166,573,5,0,
2025-12-29 14:45:32.828598,197,625,4,0,
2025-12-30 14:45:32.828597,211,616,4,0,
2025-12-31 14:45:32.828596,182,604,4,0,
2026-01-01 14:45:32.828595,243,599,6,0,
2026-01-02 14:45:32.828594,448,566,3,1,demand_spike
2026-01-03 14:45:32.828593,192,585,4,0,
2026-01-04 14:45:32.828592,202,596,3,0,
2026-01-05 14:45:32.828590,234,518,4,0,
2026-01-06 14:45:32.828589,181,539,5,0,
2026-01-07 14:45:32.828588,177,571,4,0,
2026-01-08 14:45:32.828587,199,568,3,0,
2026-01-09 14:45:32.828585,188,579,3,0,
2026-01-10 14:45:32.828584,162,572,6,0,
2026-01-11 14:45:32.828583,209,605,3,0,
2026-01-12 14:45:32.828582,222,604,5,0,
2026-01-13 14:45:32.828581,223,592,7,0,
2026-01-14 14:45:32.828580,169,654,3,0,
2026-01-15 14:45:32.828578,270,622,6,0,
2026-01-16 14:45:32.828577,210,602,3,0,
2026-01-17 14:45:32.828576,174,666,4,0,
2026-01-18 14:45:32.828575,217,633,5,0,
2026-01-19 14:45:32.828574,214,609,6,0,
2026-01-20 14:45:32.828573,173,608,4,0,
2026-01-21 14:45:32.828571,236,565,6,0,
2026-01-22 14:45:32.828570,225,554,5,0,
2026-01-23 14:45:32.828569,209,497,4,0,
2026-01-24 14:45:32.828568,420,450,6,1,demand_spike
2026-01-25 14:45:32.828566,301,313,4,0,
2026-01-26 14:45:32.828565,195,318,4,0,
2026-01-27 14:45:32.828564,202,317,4,0,
2026-01-28 14:45:32.828563,253,236,5,0,
2026-01-29 14:45:32.828562,226,188,7,0,
2026-01-30 14:45:32.828560,175,228,4,0,
2026-01-31 14:45:32.828559,155,228,5,0,
2026-02-01 14:45:32.828558,155,306,4,0,
2026-02-02 14:45:32.828557,202,345,5,0,
2026-02-03 14:45:32.828556,221,274,4,0,
2026-02-04 14:45:32.828554,188,312,3,0,
2026-02-05 14:45:32.828553,120,378,5,0,
2026-02-06 14:45:32.828552,167,384,5,0,
2026-02-07 14:45:32.828551,195,434,5,0,
2026-02-08 14:45:32.828549,137,508,6,0,
2026-02-09 14:45:32.828548,199,514,3,0,
2026-02-10 14:45:32.828547,203,462,4,0,
2026-02-11 14:45:32.828546,186,521,12,1,delivery_delay
2026-02-12 14:45:32.828545,194,478,5,0,
2026-02-13 14:45:32.828543,125,572,6,0,
2026-02-14 14:45:32.828542,223,573,3,0,
2026-02-15 14:45:32.828541,160,600,4,0,
2026-02-16 14:45:32.828540,242,577,3,0,
2026-02-17 14:45:32.828539,236,506,4,0,
2026-02-18 14:45:32.828538,185,540,5,0,
2026-02-19 14:45:32.828536,223,525,5,0,
2026-02-20 14:45:32.828535,221,472,4,0,
2026-02-21 14:45:32.828534,178,95,4,1,inventory_shortage
2026-02-22 14:45:32.828532,212,414,2,0,
2026-02-23 14:45:32.828532,235,378,5,0,
2026-02-24 14:45:32.828530,224,393,3,0,
2026-02-25 14:45:32.828529,200,344,5,0,
2026-02-26 14:45:32.828528,230,272,5,0,
2026-02-27 14:45:32.828526,228,273,3,0,
2026-02-28 14:45:32.828526,218,279,6,0,
2026-03-01 14:45:32.828524,225,292,6,0,
2026-03-02 14:45:32.828523,205,290,3,0,
2026-03-03 14:45:32.828522,204,335,4,0,
2026-03-04 14:45:32.828521,170,335,5,0,
2026-03-05 14:45:32.828519,186,306,3,0,
2026-03-06 14:45:32.828518,212,276,5,0,
2026-03-07 14:45:32.828517,219,292,8,0,
2026-03-08 14:45:32.828516,173,306,4,0,
2026-03-09 14:45:32.828515,199,264,5,0,
2026-03-10 14:45:32.828514,236,207,5,0,
2026-03-11 14:45:32.828512,240,213,6,0,
2026-03-12 14:45:32.828511,218,163,4,0,
2026-03-13 14:45:32.828510,244,85,5,0,
2026-03-14 14:45:32.828509,199,81,5,0,
2026-03-15 14:45:32.828508,193,74,5,0,
2026-03-16 14:45:32.828507,196,80,5,0,
2026-03-17 14:45:32.828505,210,82,5,0,
2026-03-18 14:45:32.828504,171,93,4,0,
2026-03-19 14:45:32.828503,172,95,4,0,
2026-03-20 14:45:32.828502,232,79,4,0,
2026-03-21 14:45:32.828501,173,87,5,0,
2026-03-22 14:45:32.828500,165,98,6,0,
2026-03-23 14:45:32.828498,169,111,3,0,
2026-03-24 14:45:32.828497,212,87,4,0,
2026-03-25 14:45:32.828496,227,108,4,0,
2026-03-26 14:45:32.828495,219,98,3,0,
2026-03-27 14:45:32.828494,215,77,8,0,
2026-03-28 14:45:32.828492,183,130,4,0,
2026-03-29 14:45:32.828491,202,109,4,0,
2026-03-30 14:45:32.828490,370,98,5,1,demand_spike
2026-03-31 14:45:32.828489,204,92,5,0,
2026-04-01 14:45:32.828487,173,165,4,0,
2026-04-02 14:45:32.828486,183,136,5,0,
2026-04-03 14:45:32.828485,236,145,12,1,delivery_delay
2026-04-04 14:45:32.828484,271,78,6,0,
2026-04-05 14:45:32.828483,196,50,4,0,
2026-04-06 14:45:32.828481,176,113,4,0,
2026-04-07 14:45:32.828480,176,144,6,0,
2026-04-08 14:45:32.828479,196,193,5,0,
2026-04-09 14:45:32.828478,252,91,5,0,
2026-04-10 14:45:32.828477,263,8,6,1,inventory_shortage
2026-04-11 14:45:32.828476,178,101,3,0,
2026-04-12 14:45:32.828475,213,113,5,0,
2026-04-13 14:45:32.828473,183,173,6,0,
2026-04-14 14:45:32.828472,187,204,5,0,
2026-04-15 14:45:32.828471,190,173,5,0,
2026-04-16 14:45:32.828470,201,122,7,0,
2026-04-17 14:45:32.828469,258,29,5,0,
2026-04-18 14:45:32.828467,205,65,4,0,
2026-04-19 14:45:32.828466,219,19,5,0,
2026-04-20 14:45:32.828465,666,-21,6,1,demand_spike
2026-04-21 14:45:32.828463,263,-123,3,0,
2026-04-22 14:45:32.828462,213,-113,4,0,
2026-04-23 14:45:32.828460,179,-131,4,0,
2026-04-24 14:45:32.828458,208,-109,4,0,
2026-04-25 14:45:32.828448,165,-51,6,0,
